qid,rid,match
Q28805,R003825,1
Q28594,R003613,1
Q15353,R770042,1
Q24716,R639237,1
Q05365,R597011,0
Q28862,R003882,1
Q25203,R000206,1
Q29193,R004215,1
Q08021,R987596,1
Q09035,R783953,1
Q25993,R000999,1
Q03746,R976689,0
Q11995,R691330,0
Q01069,R578386,0
Q21380,R340226,1
Q27992,R003009,1
Q13574,R545675,1
Q07883,R050136,1
Q13222,R250240,0
Q10801,R547569,0
Q09713,R639354,1
Q30606,R005636,1
Q26599,R001607,1
Q23535,R247012,0
Q04703,R586731,0
Q30023,R005050,1
Q05854,R952372,1
Q04231,R886597,0
Q13943,R916056,1
Q26195,R001202,1
Q05468,R910966,0
Q27594,R002606,1
Q14710,R856795,0
Q13268,R519098,1
Q28614,R003633,1
Q04155,R659333,1
Q09787,R957679,0
Q07465,R793781,0
Q19268,R203892,1
Q25403,R000407,1
Q16825,R031140,0
Q06214,R032575,1
Q12900,R107332,1
Q10559,R960131,0
Q24723,R712883,1
Q29730,R004756,1
Q26815,R001824,1
Q25744,R000748,1
Q04792,R798216,1
Q21670,R937547,0
Q26058,R001064,1
Q08458,R236432,0
Q29228,R004250,1
Q20338,R352198,0
Q21852,R955769,1
Q11262,R906079,0
Q18726,R447941,0
Q02185,R423108,0
Q05550,R233257,0
Q15997,R189520,1
Q10013,R257937,1
Q26526,R001534,1
Q12922,R958772,1
Q26178,R001185,1
Q26067,R001073,1
Q20898,R949080,0
Q06658,R871556,1
Q20618,R379718,0
Q01419,R138136,1
Q28305,R003323,1
Q28806,R003826,1
Q29533,R004558,1
Q25007,R000007,1
Q30641,R005671,1
Q14095,R851875,0
Q03998,R997457,1
Q19223,R399060,0
Q10238,R198140,0
Q12669,R178504,1
Q30325,R005354,1
Q14429,R090199,0
Q03301,R155008,0
Q26675,R001683,1
Q24535,R409819,0
Q09273,R500994,1
Q29544,R004569,1
Q18333,R275699,1
Q25308,R000311,1
Q06302,R626777,0
Q30071,R005099,1
Q14625,R474216,0
Q27405,R002417,1
Q24674,R624917,0
Q24330,R837018,0
Q00262,R631093,0
Q29942,R004969,1
Q11468,R477272,0
Q20350,R314455,1
Q03674,R225958,0
Q01077,R034764,0
Q11205,R803009,0
Q01066,R553831,1
Q07446,R290212,1
Q05202,R403404,0
Q04183,R897901,1
Q15498,R081392,1
Q13308,R687721,0
Q30643,R005673,1
Q22269,R004491,1
Q29906,R004933,1
Q11234,R034354,0
Q24450,R278460,1
Q01035,R934305,0
Q18585,R548619,0
Q18374,R703754,0
Q19574,R247516,0
Q12561,R612173,0
Q05134,R586519,1
Q19726,R420998,0
Q16971,R075474,0
Q02120,R772161,1
Q04189,R770447,1
Q29427,R004451,1
Q08688,R804641,1
Q25776,R000780,1
Q17275,R916248,1
Q15734,R740298,0
Q09353,R476673,0
Q10413,R737557,0
Q12926,R482603,0
Q28582,R003601,1
Q19547,R756711,0
Q27982,R002999,1
Q29318,R004342,1
Q26248,R001255,1
Q17033,R444298,0
Q28957,R003979,1
Q02417,R276133,0
Q27741,R002755,1
Q22057,R515495,1
Q30459,R005488,1
Q26828,R001837,1
Q04227,R876114,0
Q24129,R037719,0
Q23438,R688698,0
Q29514,R004539,1
Q13257,R178959,0
Q22224,R797522,1
Q30594,R005624,1
Q09751,R660895,1
Q11935,R090217,1
Q27072,R002081,1
Q18242,R259482,1
Q29121,R004143,1
Q12496,R469566,0
Q27426,R002438,1
Q14413,R652813,0
Q25977,R000983,1
Q16065,R082521,0
Q18763,R676022,0
Q21096,R027261,0
Q23379,R179564,0
Q19696,R584364,0
Q18964,R281679,0
Q03406,R812900,0
Q13132,R519240,0
Q29839,R004865,1
Q23843,R374837,1
Q14128,R880034,0
Q09419,R138093,0
Q01386,R290621,0
Q01139,R040062,1
Q19176,R207195,1
Q19556,R218643,1
Q17418,R161654,0
Q13057,R064642,0
Q29833,R004859,1
Q29524,R004549,1
Q19446,R107385,1
Q04642,R424740,0
Q29964,R004991,1
Q17490,R607217,0
Q20102,R501967,0
Q08679,R344103,0
Q12738,R851634,0
Q27669,R002681,1
Q25947,R000953,1
Q17293,R745981,1
Q15744,R003736,1
Q27017,R002026,1
Q26057,R001063,1
Q29762,R004788,1
Q20702,R298459,0
Q24119,R617682,0
Q30320,R005349,1
Q07600,R063053,0
Q25932,R000938,1
Q27081,R002090,1
Q27112,R002122,1
Q02968,R239703,1
Q08893,R223092,0
Q23727,R217873,0
Q30518,R005548,1
Q15504,R570366,0
Q04233,R389588,0
Q15892,R519288,1
Q23826,R746166,1
Q04335,R326719,0
Q18014,R652158,1
Q01981,R712142,0
Q17515,R667370,0
Q16470,R050266,1
Q20337,R757362,1
Q10873,R932231,0
Q15312,R977144,0
Q11895,R409035,0
Q11060,R085129,1
Q09904,R628583,0
Q28106,R003123,1
Q17647,R872493,0
Q06828,R554432,1
Q25985,R000991,1
Q16889,R631389,1
Q12019,R134052,0
Q04308,R849025,1
Q03690,R093873,0
Q05217,R412066,1
Q06508,R209723,1
Q24734,R733773,0
Q09878,R541288,0
Q25848,R000854,1
Q25364,R000367,1
Q07759,R555956,0
Q24982,R626401,1
Q25054,R000055,1
Q21642,R206577,0
Q09243,R797603,0
Q07697,R650079,0
Q05700,R534358,1
Q13648,R927122,0
Q24518,R830143,1
Q27016,R002025,1
Q07881,R304524,0
Q23509,R951246,1
Q02218,R151976,1
Q00207,R380782,0
Q16574,R515291,0
Q15591,R210247,0
Q07201,R686717,0
Q14986,R982553,0
Q17158,R987924,0
Q29010,R004032,1
Q20949,R627553,0
Q08732,R074442,1
Q15170,R679934,0
Q11552,R304746,1
Q10422,R148705,0
Q18277,R481471,1
Q30212,R005240,1
Q18760,R780976,0
Q29438,R004462,1
Q15876,R873916,1
Q14185,R700475,1
Q08004,R629629,0
Q25138,R000140,1
Q04072,R289200,1
Q28733,R003753,1
Q24511,R437300,1
Q02951,R693567,0
Q08048,R154359,0
Q13916,R245863,1
Q22024,R645160,1
Q02728,R701759,1
Q07285,R294282,0
Q18948,R331830,1
Q03395,R226326,0
Q25812,R000817,1
Q18526,R115817,1
Q13679,R960565,1
Q15145,R032625,0
Q07523,R182084,1
Q09727,R258649,1
Q17487,R415339,0
Q28906,R003927,1
Q05891,R446850,0
Q29949,R004976,1
Q06077,R345943,0
Q07095,R013163,0
Q17087,R811548,0
Q18445,R238760,0
Q27507,R002519,1
Q30004,R005031,1
Q28689,R003708,1
Q06862,R998917,0
Q27356,R002368,1
Q29950,R004977,1
Q17952,R575618,0
Q03843,R447630,0
